basis_set,n_reactions,n_converged,convergence_rate
cc-pVTZ(-PP),22,0,0.0000
"def2-TZVPP, def2-SVP",22,10,0.4545
def2-SVP/C,22,0,0.0000
LanL2DZ (Fe),22,0,0.0000
SDD (Fe),22,0,0.0000
SDD for Co,22,3,0.1364
def2-J,22,0,0.0000
Wachters-type,22,0,0.0000
"6-311+G(2p,2d)",22,0,0.0000
ECP10MDF,22,0,0.0000
VTZ-PP,22,0,0.0000
ANO-RCC-VTZ,22,0,0.0000
aug-cc-pwCVTZ-DK,22,0,0.0000
LANL2TZ for Ir,22,0,0.0000
psLACVP**,22,0,0.0000
6++31** for the rest,22,0,0.0000
6-31** for the other elements,22,0,0.0000
psLACV3P**++,22,0,0.0000
cc-pVnZ-F12,22,0,0.0000
aug-cc-pVnZ-PP,22,0,0.0000
"6-311+G(d,p)-SDD",22,0,0.0000
CBS,22,7,0.3182
MWB10,22,0,0.0000
def2-TZVPS,22,6,0.2727
"6-31G*, 6-31++G**",21,0,0.0000
TZVP6,21,21,1.0000
TZ,21,9,0.4286
"SDD(Rh,Cs)",21,0,0.0000
Lanl2dz (Ni and I),21,14,0.6667
"TZVP, aug-cc-pVTZ",21,20,0.9524
ZORA-def2-QZVPP,21,0,0.0000
"6-11+G(d,p)",21,17,0.8095
Stuttgart pseudo-potential basis set,21,0,0.0000
6-31g(d)-LANL2DZ,21,15,0.7143
def2-QZVP(-f),21,0,0.0000
def2-QZVP(-g),21,0,0.0000
"B1, B2",21,0,0.0000
"6-311++G(3df, 3pd)",21,4,0.1905
LANL2DZ(f) (Pd),20,0,0.0000
LANL2dz(f),20,20,1.0000
SDD RECPs,20,0,0.0000
SDD4,20,10,0.5000
6-311+G**+TZVP(Zn),20,12,0.6000
631SVP,20,12,0.6000
D95**,20,0,0.0000
triple zeta basis set,20,20,1.0000
6-31+G(d)&SDD,20,15,0.7500
Stuttgart/Dresden (SDD),20,0,0.0000
LANL2TZ+(3d) for Cs,20,16,0.8000
LANL2TZ+(3f) for Pd,20,16,0.8000
LANL2TZ+(3d) for Sn,20,16,0.8000
6-311+g*,20,4,0.2000
"6-311G(d,p), cc-PVTZ",20,0,0.0000
LACVP(d),20,0,0.0000
"6-311++G(3df,3pd):sdd",20,19,0.9500
double-ζ basis set with f-polarization functions,20,0,0.0000
6-31G(d)-LANL2DZ,20,12,0.6000
"6-31G(d), SDD, def2-TZVP",19,0,0.0000
CEP/31G,19,0,0.0000
aug-cc-pVDZ-PP for Mo,19,0,0.0000
"6-311G(2d, d, p)",19,1,0.0526
6-31+g**,19,0,0.0000
LANL2 ECP,19,0,0.0000
"LACVP(d,p)",19,11,0.5789
Ahlrichs SVP,19,11,0.5789
AM1,19,0,0.0000
SVWN/STO-3G,19,0,0.0000
Lan2L2DZ,19,18,0.9474
cc-pV(D+d)Z-PP,19,16,0.8421
triple-ζ STO basis set on Pd (TZV),19,7,0.3684
double-ζ STO basis sets augmented by one polarization function (DZVP),19,7,0.3684
ma-TZVPP,19,19,1.0000
"6-31+G(d,p), cc-pVTZ",19,0,0.0000
ma-Def2-QZVPP,19,0,0.0000
6-31G*&Lanl2dz,19,0,0.0000
6-31+g*,19,13,0.6842
"def2-TZVP(Ga, P, N)",19,0,0.0000
"Def2-SVP(C, H)",19,0,0.0000
"6-311++G(D,P)",18,11,0.6111
"double, triple, quadruple ζ",18,0,0.0000
"LanL2DZ+G(d,p)",18,18,1.0000
LANL08-f,18,13,0.7222
"6-31g* on C, O, P, N, B and H",18,0,0.0000
LANL2DZ on Cu,18,0,0.0000
6-311G(d)-SDD,18,0,0.0000
[6s5p3d2f1g] contracted valence basis set with SDD,18,18,1.0000
SDD for Ni and Pt,18,10,0.5556
6-311G(d) for other atoms,18,10,0.5556
LANL2DZ for Ni and Pt,18,10,0.5556
6-311+G**; 6-31+G*,18,8,0.4444
"6-31G**, def2-TZVP",18,0,0.0000
Stuttgart Effective Core Potentials,18,0,0.0000
541/541/211/1,18,0,0.0000
cc-pVQZ(without f and g),18,2,0.1111
(8s7p6d)/[6s5p3d],18,0,0.0000
triple-? plus polarization Slater basis set,18,0,0.0000
lacvp**,18,0,0.0000
TZP for nickel,18,0,0.0000
DZP for all other atoms,18,0,0.0000
"6-31G(d) (C, H)",17,17,1.0000
"SDD (Ru, Rh)",17,17,1.0000
"6-311G++(2d,p) (hydride)",17,17,1.0000
"6-31G(d,p) (Cps)",17,17,1.0000
"6-31G(d), 6-31++G(d,p)",17,0,0.0000
"6-31+G(d,p), SDD",17,9,0.5294
MDF10,17,0,0.0000
"6-311++G(df,pd)",17,0,0.0000
W06,17,0,0.0000
"6-31G*, 6-311+G*, 6-31++G(d,3pd), SDDAll",17,0,0.0000
Stuttgart-Dresden-Bonn pseudo-potential,17,6,0.3529
"augmented and polarized all-electron triple-ζ 6-311G(d,p)",17,6,0.3529
Stuttgart-Dresden-Bonn quasi-relativistic large effective core potential,17,6,0.3529
aug-cc-pVTZ/C,17,0,0.0000
def2,17,15,0.8824
SDD for Au,17,0,0.0000
"6-311++g(2d,2p)",17,2,0.1176
"6-311++G(d,p), 6-31G(d)",17,0,0.0000
"6-311G+(2d,p)",17,0,0.0000
"LANL2DZ; 6-31G(d); SDD; 6-311+G(d,p)",17,12,0.7059
"6-31g(d), def2sv",17,9,0.5294
"TZVP, SVP",17,17,1.0000
split-valence triple-ζ plus polarization function basis set,16,0,0.0000
"double-ζ basis set augmented with even-tempered s, p, and d diffuse functions",16,0,0.0000
SDD ECP on Fe,16,0,0.0000
Def2-QZVPP for Cs,16,0,0.0000
"cc-pvdz, cc-pvtz",16,0,0.0000
CEP-121G,16,11,0.6875
def2-QZVPP/J,16,6,0.3750
BASIS_MOLOPT,16,0,0.0000
BASIS_ADMM_MOLOPT,16,0,0.0000
BASIS_ADMM,16,0,0.0000
SDD+f(Pd),16,0,0.0000
TZVPS,16,0,0.0000
6-31G* 6d,16,0,0.0000
6-31+G* 6d,16,0,0.0000
6-311+G** 6d,16,0,0.0000
Lanl2MB,16,13,0.8125
"SDD(Ir, Sn)",16,0,0.0000
"6-31G*(H except for Hydride, C)",16,0,0.0000
"6-311G*(F, P, O, Hydride)",16,0,0.0000
"6-311++G(d,p); 6-311++G(2d,2p)",16,5,0.3125
Lanl2z with ECP,16,0,0.0000
"LANL2DZ(f)-6-311+G(d,p)",16,7,0.4375
"6-31G(d,p), may-cc-pVTZ",16,0,0.0000
LANL08+(f),16,0,0.0000
TZV2P-MOLOPT-GTH,16,0,0.0000
Stuttgart relativistic pseudopotential,16,10,0.6250
LanL2DZ-II,16,16,1.0000
LanL2DZ-III,16,16,1.0000
def2-TZVP(ECP),16,0,0.0000
LANL08+(d),15,0,0.0000
"SVP, TZVP, SDD",15,0,0.0000
modified LANL2DZ plus a set of f-type functions,15,0,0.0000
6-31G**; cc-pVTZ(-f); LACVP,15,0,0.0000
6-31LAN,15,13,0.8667
6-311G++,15,0,0.0000
double-zeta basis set with polarization functions,15,0,0.0000
LanL2DZ + f functions for Ru,15,6,0.4000
SDD3,15,11,0.7333
"6-31G(d,p), LANL2DZ",15,14,0.9333
aug-cc-pVTZ-J,15,0,0.0000
"6-311+G(2df,2p)[6-311G*]",15,0,0.0000
(LANL2DZ),15,8,0.5333
MWB46,15,0,0.0000
BS-1,15,0,0.0000
BS-2,15,0,0.0000
Stuttgart [8s7p6d,15,15,1.0000
6s5p3d] ECP10MWB,15,15,1.0000
Los-Alamos double zeta basis set,14,9,0.6429
"6-31++G(d,3pd)",14,0,0.0000
"6-311G(d,p), lanl2TZ",14,0,0.0000
"6-31G(d,p) for other atoms",14,0,0.0000
"6-311++G(d,p) for nonmetal atoms",14,0,0.0000
SDD+2fg(Au),14,0,0.0000
def2-TZV,14,0,0.0000
Stuttgart-Dresden basis set (SDD),14,0,0.0000
cc-PVTZ-PP,14,0,0.0000
"TZVP, SDD",14,0,0.0000
cc-pV(D+d)ZS,14,10,0.7143
"6-311++G(2d,p)(SDD for Rh)",14,0,0.0000
"311-split, LACVP",14,8,0.5714
TZVPB,14,13,0.9286
"SDD+pol(Au,I)",14,13,0.9286
SDD+pol(Au),14,13,0.9286
pcseg-1,14,0,0.0000
aug-pcseg-1,14,0,0.0000
DGZVP,14,0,0.0000
"6-311+G(2df,p)(SDD)",14,4,0.2857
6-31+G*(SDD),14,4,0.2857
"6-31G(d), 6-311++G(d,p)",14,0,0.0000
LANL2DZ for Au,14,0,0.0000
IGLO-II,14,0,0.0000
"def2-SVP, TZ2P",13,1,0.0769
SDD-ECP,13,0,0.0000
Stuttgart SDDAll,13,6,0.4615
"lanl2dz, 6-311+G**",13,0,0.0000
"6-31G+(2d,2p)",13,0,0.0000
cc-pPDZ,13,0,0.0000
aug-cc-pVTZ/MP2FIT,13,0,0.0000
def2-QZPP/JKFIT,13,0,0.0000
def2-TZVPP/JKFIT,13,0,0.0000
aug-cc-pDZ/MP2FIT,13,0,0.0000
pVDZ/JKFIT,13,0,0.0000
SDD6-31+G(d),13,6,0.4615
"SDD6-311++G(2df,p)",13,6,0.4615
double-ζ basis set,13,0,0.0000
6-31G* for other atoms,13,0,0.0000
6-311++G(d),13,3,0.2308
def2-mTZVP,13,0,0.0000
Stuttgart-Dresden-Bonn,13,5,0.3846
"6-31G(d,p), LanL2DZ",13,0,0.0000
TZVPfit,13,0,0.0000
6-31G**/LACVP(Au),13,0,0.0000
LACV3P(Au),13,0,0.0000
Ahlrichs VDZ,13,9,0.6923
LanL2DZ(W),13,0,0.0000
IGLOIII,13,0,0.0000
QZVPP,13,0,0.0000
(8s7p6d1f)/[6s4p3d1f],13,3,0.2308
LANL2DZ(Bi),13,11,0.8462
cc-pVTZ/C,13,9,0.6923
polarized triple- basis sets,13,0,0.0000
6D 10F,13,0,0.0000
LANL2DZp,13,0,0.0000
ECP from Dolg et al.,12,0,0.0000
Stuttgart-Dresden RECP,12,0,0.0000
Stuttgart RSC 1997,12,2,0.1667
Stuttgart RSC 1997 ECP (ECP10MDF),12,5,0.4167
LANL2TZ(f)(Ni),12,10,0.8333
(7s4p1d)/[3s2p1d],12,0,0.0000
(4s1p)/[2s1p],12,0,0.0000
(14s9p5d)/[5s3p2d],12,0,0.0000
"CP(PPP), def2-TZVP",12,0,0.0000
double-zeta valence basis set for Al,12,0,0.0000
SVPP,12,0,0.0000
"6-31G*(d,p)",12,0,0.0000
aug-cc-pVTZ(-PP),12,0,0.0000
Def2-ECP,12,2,0.1667
"6-31G**, LANL2DZ",12,0,0.0000
"6-31G*(H, C, N, O and P)",12,12,1.0000
LANL2DZ(Ru),12,12,1.0000
LANL2TZ(f)(Ru),12,12,1.0000
"TZVP(H, C, N, O and P)",12,12,1.0000
"TZVP, DZVP",12,0,0.0000
6-311+G**(SDD),12,0,0.0000
"SV (N, C, H)",12,0,0.0000
"TZVP (Ncoord, Nbase, Cu, H2O2)",12,0,0.0000
"TZVP (Ncoord, Cu)",12,0,0.0000
"TZVP (Ncoord, Cu, OOH)",12,0,0.0000
"Basis I combines DZP for O, Si, Ge, H and TZP for Pt, W, V, Cl, Li, Na, K",12,0,0.0000
ANO-RCC-VDZP,12,6,0.5000
BS I,12,12,1.0000
BS II,12,12,1.0000
Stuttgart RSC effective core potentials,12,0,0.0000
LANL2DZ(Au),12,12,1.0000
"311-split for main group elements with one additional polarization p-function for hydrogen, additional two polarization d-functions for elements of higher periods",12,0,0.0000
"UFF, SMD",12,0,0.0000
large basis sets,12,0,0.0000
"6-31G'(d,p)",12,0,0.0000
aug-cc-pwCVQZ-DK,12,0,0.0000
"SDD-6-31G(d,p)",12,7,0.5833
aug-cc-pVXZ-PP,12,0,0.0000
"6-31G+(2df,2p)",12,12,1.0000
"6-311++G(d,p) for all other atoms in single-point calculations",12,11,0.9167
"6-31G(2d,p)",11,8,0.7273
BBS aug-cc-pwCVQZ-DK,11,0,0.0000
BP_TZVP_19,11,0,0.0000
B2 (def2-TZVP),11,0,0.0000
"B1 (SDD for Pd and I, 6-31G*)",11,0,0.0000
"6-311++g(2d), 6-31G(d)",11,0,0.0000
def2-DZVP,11,0,0.0000
EPR-II,11,0,0.0000
def2-TVPP,11,0,0.0000
"LANL2DZ, 6-31G(d)",11,0,0.0000
Ahlrichs def2-TZVPP,11,0,0.0000
Ahlrichs def2-SVP,11,0,0.0000
Stuttgart-Dresden pseudopotential,11,0,0.0000
"augmented basis set with polarization functions (d for Sr, f for Yb, d for F)",11,0,0.0000
Stuttgart/Dresden ECPs (SDD),11,0,0.0000
6-31G**/LACVP,11,0,0.0000
SDD for Cl,11,0,0.0000
"6-31G(d,p) for C, B, and H",11,0,0.0000
"6-31G(d), 6-311+G(d,p), SDD",11,0,0.0000
"6-31G(p,d)",11,0,0.0000
"SDD(f,g)",11,0,0.0000
6-311+G*on S,11,11,1.0000
6-311+G(2df),11,0,0.0000
"SDD(d), TZP",11,0,0.0000
"6-311+G(3df,p)",11,0,0.0000
cc-pwVTZ-DK,11,5,0.4545
cc-pwVDZ-DK,11,5,0.4545
"TZV,3-21G*",11,0,0.0000
"TZVP,SV(P)",11,0,0.0000
DZVP for Pd; TZVP for other atoms,11,7,0.6364
SDD + ECP(SDD) for Pd; 6-311G+(d) for O; 6-311G(d) for other atoms,11,7,0.6364
LANL2DZ + ECP(LANL2DZ) for Pd; 6-31G(d) for other atoms,11,7,0.6364
[6s5p3d1f],11,0,0.0000
LANL2DZ (Ni)/6-31++G** (Other atoms),11,0,0.0000
"aug-cc-pvdz (Ni,S)/cc-pvdz (other atoms)",11,0,0.0000
LANL2TZ+ (Ni)/6-311++G** (Other),11,0,0.0000
"def2-SV(P), def2-TZVPP, def2/J, def2-TZVPP/C",11,0,0.0000
SDD3 for Ni,11,0,0.0000
6-31+G(3pd),11,0,0.0000
LACVPS,10,0,0.0000
Wachters’ augmented basis set,10,8,0.8000
Wachters+f,10,8,0.8000
"6-31G(d,p), Stuttgart/Dresden Effective Core Potential and its associated basis set SDD",10,0,0.0000
"6-31G*; 6-311++G(d,p); SDD",10,0,0.0000
"cc-PVTZ, 6-31g(d,p)",10,0,0.0000
"6-311++G(d,p), MWB (46/4)",10,0,0.0000
LANL2MB,10,0,0.0000
LanL2DZ+p,10,9,0.9000
"DZP, TZP",10,6,0.6000
3ζ,10,0,0.0000
(15s11p6d) primitive set of Wachters-Hay,10,0,0.0000
"6-31G(d), def2-SVP, def2-TZVP",10,4,0.4000
LAN08F,10,0,0.0000
aTZ,10,0,0.0000
aDZ,10,0,0.0000
ANO-S-MB,10,6,0.6000
"6-31++g(2d,p)",10,0,0.0000
"6-311+G(df,p)",10,0,0.0000
"6-31G++(d), 6-31G+(d), TZVP",10,0,0.0000
WTBS,10,9,0.9000
"6-311++G(2df,p)",10,0,0.0000
"def2-TZVP, 6-31G(d)",10,0,0.0000
SDB basis sets,10,9,0.9000
LANL2TZ+(Cu),10,7,0.7000
CoreProp,10,0,0.0000
SV-ZORA,10,0,0.0000
TZV-ZORA,10,0,0.0000
ECP-60-MWB,10,6,0.6000
cc-pVDZ; aug-cc-pVDZ-pp; cc-pVTZ; aug-cc-pVTZ-pp,10,9,0.9000
"6-31g (C, H)",10,9,0.9000
"6-311g* (Cu, N, O)",10,9,0.9000
"TZ2P, cc-pVTZ",9,0,0.0000
D95,9,8,0.8889
"Def2-SVP, TZ2P",9,9,1.0000
unknown,9,0,0.0000
Ta:[6s5p3d],9,0,0.0000
"TZ2P, def2-TZVPPD",9,0,0.0000
Stuttgart basis set for yttrium,9,9,1.0000
Stuttgart-Dresden effective small core potential basis set for Ni(SDD),9,0,0.0000
pc-1,9,0,0.0000
D95V for C.H,9,0,0.0000
D95* for N,9,0,0.0000
"LANL2DZ for Ni, Ru",9,0,0.0000
"6-31+G(d,p), LANL2DZ, SDD",9,0,0.0000
LANLTZ,9,2,0.2222
polarized triple-ζ,9,2,0.2222
TZVP-GTH,9,6,0.6667
DZVP-GTH,9,6,0.6667
"LANL2TZ(f)-6-311+G(d,p)",9,0,0.0000
"def2/J, def2-TZVP",9,0,0.0000
jul-cc-pVDZ,9,0,0.0000
def2-def2-SVP,9,0,0.0000
pcS-2,9,0,0.0000
n.a.,9,0,0.0000
6-31G*(rest),9,4,0.4444
"SDD(Mn,I)",9,4,0.4444
def2-svpp,9,0,0.0000
"6-31G(d), pcS2",9,0,0.0000
"TZVP, 6-311+g(d)",9,0,0.0000
"6-31G*, Lanl2dz",9,0,0.0000
"6-31+G(d), lanl2dz, SDD-6-311++G(d,p)",9,0,0.0000
CBSB7,8,3,0.3750
def2-TZVP3,8,0,0.0000
"6-31G**, 6-311++G**, LanL2DZ",8,0,0.0000
3-21+G(d),8,0,0.0000
Lanl2tz(f),8,0,0.0000
"cc-pVDZ, cc-pVDZ-PP, cc-pVTZ, cc-pVTZ-PP",8,0,0.0000
Lanl2Tz(f),8,4,0.5000
6-311G**(others),8,7,0.8750
6-31G*(others),8,7,0.8750
6-31+G** all-electron,8,0,0.0000
"SV(P), TZVP",8,0,0.0000
ma-def2TZVP,8,0,0.0000
LACVP+*,8,0,0.0000
LACV3P+**,8,0,0.0000
"BS-I: Lanl2dz for Pd and Ni, 6-31G(d) for other atoms",8,0,0.0000
"BS-II: SDD for Pd and Fe, 6-311++G(2d,2p) for other atoms",8,0,0.0000
6-31G* for other main-group atoms,8,3,0.3750
"6-31+G* for N, O",8,3,0.3750
6-311++G**/SDD,8,6,0.7500
6-31G**/LanL2DZ,8,6,0.7500
Midix,8,0,0.0000
Ahlrichs TZV,8,0,0.0000
double-zeta,8,0,0.0000
def2-complete basis set,8,2,0.2500
LanL2MB,8,0,0.0000
"Def2-TZVPP, 6-31G(d)",8,0,0.0000
LANL2DZ+f(Ru),8,6,0.7500
"6-31+G*(H,C)",8,6,0.7500
"6-31+G**(P,S)",8,6,0.7500
Stuttgart-Dresden pseudopotentials,8,0,0.0000
relativistic ECP and basis set of the Stuttgart group,8,0,0.0000
"6-311+G(D,P)",8,0,0.0000
"6-31++(d,p)",8,0,0.0000
LANL2dzdp,8,0,0.0000
"6-311G(d,p), def2-TZVP",8,5,0.6250
Lanl2dz3,8,1,0.1250
triple-ζ Slater-type basis set (TZP),8,0,0.0000
SDD/ECP,8,7,0.8750
Stuttgart-Dresden SDD,7,1,0.1429
LACV3P**++,7,0,0.0000
LANL2DZpd(Cl),7,0,0.0000
Stuttgart RSC ECP,7,0,0.0000
augmented LANL2DZ(dp),7,0,0.0000
DB-aug-cc-pVTZ,7,0,0.0000
6-311G+(3d),7,0,0.0000
LANL2DZ+f (ECP),7,1,0.1429
"6-311++G(d,p)-SDD+f(ECP)",7,1,0.1429
Stuttgart-Dresden small core RECP,7,0,0.0000
6-31G(d):lanl2dz,7,0,0.0000
LanLD2DZ,7,0,0.0000
6-31G+p(d),7,2,0.2857
"LACVP, LACV3P*+",7,6,0.8571
DGTZVP,7,0,0.0000
"LANL2Dζ(W,Pt)",7,0,0.0000
"6-31+G(d,p), def2-TZVP",7,0,0.0000
"6-31G(d), LANL2DZ",7,0,0.0000
small basis set,7,0,0.0000
def2/JS,7,0,0.0000
Hay-Wadt small core effective core potential,7,6,0.8571
double-zeta plus polarization (DZVP),7,0,0.0000
SDD for Ni and Br,7,0,0.0000
energy-optimized valence basis set,7,0,0.0000
quasi-relativistic energy-consistent 5f-in-core RECP,7,0,0.0000
"D95, SDD 16 valence electrons basis set, TZVP",7,0,0.0000
"5s,5p,5d",7,0,0.0000
"3s,3p,1d",7,0,0.0000
"4s,4p,3d",7,0,0.0000
TZP-DKH,7,0,0.0000
mTZVP,7,0,0.0000
"SDD for Rh and 6-311+G(d,p) for other atoms",7,0,0.0000
6-31G(2d),7,0,0.0000
ECP28MWB VTZ,7,0,0.0000
"6-31(d,p)",7,0,0.0000
triple-ξ polarization (TZP),7,0,0.0000
6-311++G**/SDD(Cu),7,0,0.0000
6-31G**/LanL2DZ(Cu),7,0,0.0000
Turbo mole basis set TZVP,7,0,0.0000
Huzinaga-Dunning double-ζ,7,1,0.1429
A,7,6,0.8571
"DZP, TZ2P",7,0,0.0000
DKH-def2-TZVPP,7,0,0.0000
Def2-QZVPD,7,0,0.0000
"6-31G(d’,p’)",7,0,0.0000
triple-z Slater basis set plus double-polarization (STO-TZ2P),7,0,0.0000
def2-TZV/J,7,1,0.1429
"6-311G(2df,p)",7,0,0.0000
PC-3,7,0,0.0000
"SDD, cc-pVDZ",7,0,0.0000
def2-xVP,7,3,0.4286
pTZV,7,0,0.0000
6-31+G**(LANL2DZ for Ni and Br atoms),6,0,0.0000
STO-basis sets,6,1,0.1667
"6-311++G(d,p) for other elements",6,2,0.3333
[5s5p3d1f] contracted-valence basis set with the relativistic effective core potential of Hay and Wadt (LanL2TZ(f)) for Ru,6,2,0.3333
[6s5p3d2f1g] contracted-valence basis set with the Stuttgart-Dresden-Bonn energy-consistent pseudopotential (SDD) for Ru,6,2,0.3333
6-31G(d) for other elements,6,2,0.3333
[6s5p3d] Stuttgart-Dresden basis set,6,5,0.8333
def2-TZVP(P),6,0,0.0000
SBKJC,6,6,1.0000
[6s5p3d2f1g],6,0,0.0000
"Stuttgart relativistic, small core ECP basis sets for Pt",6,0,0.0000
aug-cc-pVTZ(-f),6,0,0.0000
aug-cc-pVQZ(-g),6,0,0.0000
"def2-QZVPP(-g,-f)",6,0,0.0000
6s4p3d1f,6,0,0.0000
LACV3P(Mn),6,0,0.0000
LACVP(Mn),6,0,0.0000
"6-311+G**(C, H, O, N, and S)",6,0,0.0000
"6-31G*(C, H, O, N, and S)",6,0,0.0000
dhf-TZVP,6,0,0.0000
TZ2P+,6,0,0.0000
LANL2DZ; 6-31G*; 6-311++G**,6,0,0.0000
aug-cc-PVTZ-DK,6,2,0.3333
"6-31+G(2d,2p)",6,0,0.0000
triple-z def2-TZVP,6,0,0.0000
double-z def2-SVP,6,0,0.0000
def2 ECP,6,0,0.0000
scalar relativistic pseudopotentials of the Stuttgart-Dresden-Koln type,6,6,1.0000
"6-31+G(d,p), LANL2DZ",6,0,0.0000
"6-311++ G(2df, 2pd)",6,0,0.0000
SDD plus polarization,6,0,0.0000
"def2-TZVP, TZ2P",6,0,0.0000
DKH-def2-TZVP(-f),6,0,0.0000
"SDD for Au and I, 6-31G(d,p) for C, H and P",6,0,0.0000
LANL2TZ+f,6,0,0.0000
ma-def2-SVP,6,0,0.0000
"6-311+G(2df,3pd)",6,0,0.0000
plane-wave basis sets,6,0,0.0000
cc-pCVQZ,6,0,0.0000
def2-TVZPP,6,2,0.3333
"cc-pvDZ, aug-cc-pvDZ",6,6,1.0000
Lanl2dz(f),6,0,0.0000
"SDD, SVP, TZVP",6,0,0.0000
all-electron,5,3,0.6000
"6-31+G(d), LanL2DZ",5,0,0.0000
"6-311++G(3df,p)",5,0,0.0000
5f-in-large-core ECPs,5,0,0.0000
SDD basis sets,5,0,0.0000
LanL2DZdp,5,3,0.6000
"TZVP, def2-TZVP",5,3,0.6000
"6-31G*; 6-311+G(d,p); Lanl2dz; SDD",5,0,0.0000
cc-pCVTZ,5,0,0.0000
"6-31+G(d), 6-311+G(d,p), 6-311+G(2d)",5,2,0.4000
6-31d,5,3,0.6000
Def2-QZVPP|Def2-QZVPP/J,5,0,0.0000
aug-cc-pwCVQZ-PP,5,0,0.0000
SDB-aug-cc-pVTZ,5,1,0.2000
plane-wave,5,0,0.0000
6-311++g(D3),5,5,1.0000
def2-TZVP(D3),5,5,1.0000
"def2-TZVPD, def2-TZVPPD",5,0,0.0000
Rh {20s16p11d}/[14s11p7d],5,2,0.4000
H {5s1p}/[3s1p],5,2,0.4000
"C, N, O {11s6p2d}/[6s3p2d]",5,2,0.4000
I {21s17p12d}/[15s12p8d],5,2,0.4000
QZP,5,4,0.8000
"6-311+G(d,p), LanL2DZ",5,0,0.0000
"def2-TZVP, def2-SVP",5,0,0.0000
lanl2dz/ECP,5,0,0.0000
Stuttgart-Bonn ECP,5,2,0.4000
"6-31G(d), SDD, def2-TZVP, def2-QZVP",5,0,0.0000
Stuttgart/Dresden ECPs pseudopotential (SDD),5,5,1.0000
ma-SVP,5,0,0.0000
Stuttgart-Dresden effective core potential,5,2,0.4000
ma-ZORA-def2-TZVPP,5,0,0.0000
"TZPV, cc-pVTZ",5,0,0.0000
"aug-cc-pVDZ, aug-cc-pVTZ, def2-SVP",5,0,0.0000
"6-31g+(d,p)",5,1,0.2000
Lanl2dz (for Ru),5,3,0.6000
SDD (for Ru),5,3,0.6000
6-31G**++,5,0,0.0000
cc-pVTZ-pp,5,0,0.0000
sv(p),5,0,0.0000
"SDD (Pd, I)",5,0,0.0000
"cc-pV{D,T}Z-F12",5,4,0.8000
"aug-cc-pV{D,T}Z-PP",5,4,0.8000
double numeric polarized (DNP),5,4,0.8000
6-311g(d),5,0,0.0000
"LANL2DZ(d,p)",5,0,0.0000
modified triple-ζ Los Alamos basis set,4,0,0.0000
modified double-ζ Los Alamos basis set,4,0,0.0000
lanl2dz (ECP),4,0,0.0000
Stuttgart SDD,4,0,0.0000
plane wave pseudopotential,4,0,0.0000
Def2-SVPP,4,0,0.0000
b-p/SV(P),4,0,0.0000
"zora-def2-TZVP, def2-TZVP",4,0,0.0000
def-TZVPP,4,0,0.0000
"SVP(C,H)",4,0,0.0000
"TZVP(Co,P)",4,0,0.0000
"genecp, def2tzvp",4,4,1.0000
cc-pvtz-pp,4,4,1.0000
6-31G+**,4,0,0.0000
"SDD, 6-31G(d), 6-311+G(d,p)",4,3,0.7500
cc-pVTZ-X2C,4,0,0.0000
Stuttgart RSC 1997 ECP for Pd,4,4,1.0000
triple-ζ STO,4,0,0.0000
LANLDZ+f,4,3,0.7500
LANLTZ+f,4,3,0.7500
LAN2L2DZ,4,0,0.0000
6s5p3d1f,4,0,0.0000
LANL2Dz(Rh),4,0,0.0000
"6-31G(d,p), 6-31+G(d)",4,0,0.0000
6-311G+(d),4,0,0.0000
"aug-pc-1, pcseg-1",4,0,0.0000
"TZVPP, TZVP",4,0,0.0000
"LANL2Dz(W,Se)",4,1,0.2500
"6-311+G(d,p), 6-311++G(2d,p)",4,0,0.0000
6d,4,0,0.0000
6-31+g(d'p),4,0,0.0000
aug-SDB-cc-pVTZ,4,0,0.0000
ECP60MWB(8s7p6d)/[6s5p3d],4,0,0.0000
ECP10MWB(4s4p)/(2s2p),4,0,0.0000
ECP10MDF(8s7p6d1f)/(6s5p3d1f),4,0,0.0000
ECP28MDF(8s7p6d1f)/(4s4p3d1f),4,0,0.0000
Wachters+f 6-31+G**,4,2,0.5000
Wachters+f 6-311++G**,4,2,0.5000
"6-31+G(d,p); Aug-cc-pVTZ; DB-aug-cc-pVTZ",4,3,0.7500
SDD(2f),4,0,0.0000
augmented by f function,4,0,0.0000
cc-pTVZ(-f),4,0,0.0000
pcseg-2,4,0,0.0000
SDD for Ni and I,4,3,0.7500
SDD(I),4,0,0.0000
double-z LANL2DZ,4,0,0.0000
LANL2LTZ(f),4,0,0.0000
"6-31G(d,p), 6-311+G(d,p)",4,0,0.0000
SDD+f (Cu),3,0,0.0000
LANL08+,3,0,0.0000
ae-TZP,3,0,0.0000
cep-121G*,3,0,0.0000
SDB basis sets for Pd,3,0,0.0000
6-311G(d) for other atoms in single-point calculations,3,0,0.0000
aug-cc-p(V+d)Z,3,0,0.0000
cc-pVXZ,3,0,0.0000
aug-cc-pVXZ,3,0,0.0000
modified LANL2DZ plus a set of f-type functions for Ir,3,0,0.0000
triple-ζ TZVP,3,1,0.3333
D95v,3,0,0.0000
MIDI,3,0,0.0000
LANL2DZ (Re),3,0,0.0000
ZORA-Def2-TZVPP,3,0,0.0000
ZORA-Def2-SVP,3,0,0.0000
ZORA-Def2-TVP,3,0,0.0000
"6-311+G(d,P)",3,0,0.0000
"Lanl2DZ(Co,Br)",3,0,0.0000
