basis_set,n_reactions,n_converged,convergence_rate
SDD(Ni),155,115,0.7419
TZVPP,152,18,0.1184
aug-cc-pwCVQZ,151,52,0.3444
Lanl2DZ(Pd),150,51,0.3400
cc-pVDZ(-PP),149,108,0.7248
"SDD-6-311+G(d,p)",148,90,0.6081
LAN2DZ,147,76,0.5170
LANL2DZdp,146,35,0.2397
Lanl2dz (Pd),145,0,0.0000
SARC-ZORA,142,0,0.0000
SARC-DKH,142,0,0.0000
"def2-TZVP, def2-QZVP",140,0,0.0000
"BSI, BSII",139,28,0.2014
aug-cc-pVDZ-PP,138,11,0.0797
"6-311(d,p)",138,5,0.0362
"6-31++g(d,p)",137,0,0.0000
6-311+g(d),137,51,0.3723
Def2-ecp,137,0,0.0000
def2-QZVPS,133,0,0.0000
LANL2DZ-6-31G(d),133,91,0.6842
MWB28,133,0,0.0000
LANL2DZ (for Cu),131,21,0.1603
LANL2DZ+f,128,0,0.0000
gen,127,98,0.7717
BSIV,126,109,0.8651
BSIII,126,109,0.8651
3-21G**,125,0,0.0000
Lan2LDZ,125,64,0.5120
BS4,124,37,0.2984
"cc-pVDZ, cc-pVTZ",122,13,0.1066
def2/JK,119,0,0.0000
Ahlrichs’ SVP,119,109,0.9160
QZVP,118,96,0.8136
def2-ECP,118,72,0.6102
LANL2,116,0,0.0000
"6-31G(d,p), 6-311+G(d,p), SDD",116,11,0.0948
ccPVTZpp,115,0,0.0000
Def2-TZVPPD,115,21,0.1826
631LAN,115,29,0.2522
6-31+g(d),114,48,0.4211
B1,114,29,0.2544
BS,114,103,0.9035
"6-31G*(C,H,N,O,Br)",114,0,0.0000
"6-311+G**(C,H,N,O,Br)",114,0,0.0000
LANL08(d),112,0,0.0000
def2-TZVPP/C,112,50,0.4464
def2-mTZVPP,112,57,0.5089
"SVP, TZVP",111,45,0.4054
LANL2DZ(+f),111,10,0.0901
SVP-sdd,110,0,0.0000
TZVP-sdd,110,0,0.0000
LANL2DZ(Rh),110,88,0.8000
6-311G++**,109,35,0.3211
LACV3P++**,107,20,0.1869
"6-311++G(3df,2p)",107,0,0.0000
CEP-31G(d),106,57,0.5377
"Wachters-Hay 6-311+G(d,p)",106,27,0.2547
def2-QZVPP/C,105,12,0.1143
def2-TZVP/J,105,20,0.1905
STO-3G,105,4,0.0381
SDD(d),105,36,0.3429
LANL08,104,19,0.1827
Stuttgart [8s7p6d2f,104,83,0.7981
"6-311++G (d, p), 6-31G(d)",103,0,0.0000
SDD for Ni,102,54,0.5294
"6++31G(d,p)",102,0,0.0000
6-311++G,101,0,0.0000
ma-def2-QZVPP,101,7,0.0693
Def2-SVP(d),101,0,0.0000
MG3S,101,0,0.0000
"6-311+G(3df,2p)",100,3,0.0300
"6-31G(d,p), 6-311++G(d,p)",98,41,0.4184
"6-311+g(2d,p)",98,43,0.4388
AUG-cc-pVTZ-PP,97,37,0.3814
def2-SVPP,96,0,0.0000
"SDD(Pd,Ag)",95,0,0.0000
SV,95,2,0.0211
Stuttgart/Dresden ECP (SDD),94,17,0.1809
LACVP*,92,10,0.1087
DZVP-MOLOPT-SR-GTH,92,20,0.2174
cc-pVDZ-DK,91,23,0.2527
6-31++G(d),91,78,0.8571
"Def2SVP, Def2TZVPP",90,0,0.0000
ZORA-def2-TZVP,89,26,0.2921
Lanl2TZ(Rh),88,88,1.0000
def-SVP,88,6,0.0682
LANL2DZ ECP,87,7,0.0805
LANL2DZ(Ni),86,65,0.7558
def2-QZVPPD,85,17,0.2000
"3ξ quality basis set with polarization functions, designated as TZ2p",85,0,0.0000
ECP10MWB,85,1,0.0118
DNP,84,31,0.3690
Stuttgart effective core potentials with polarization function (ζf=1.0),84,0,0.0000
ma-def2-TZVP,83,0,0.0000
"6-311G(2df,2pd)",83,0,0.0000
plane waves with a cutoff of 500 eV,83,0,0.0000
VTZ,82,27,0.3293
ECP3,81,0,0.0000
def-SV(P),80,7,0.0875
"6-311G(d, p)",80,0,0.0000
