functional,element_class,n_reactions,n_converged,convergence_rate
ωB97XD; PBE,4d_TM,34,3,0.0882
"B3LYP, ωB97X-D, M06-2X, PBE",no_xyz_data,34,30,0.8824
MN15-L,no_xyz_data,34,0,0.0000
MO62x,no_xyz_data,34,16,0.4706
M06-UF,no_xyz_data,33,0,0.0000
"ωB97XD, M06",main_group_only,33,0,0.0000
Grimme's dispersion correction,5d_TM,33,0,0.0000
PBE-D4,3d_TM,33,30,0.9091
"PBE0, D3BJ",main_group_only,33,0,0.0000
"B3LYP, D3",main_group_only,33,0,0.0000
MPW1B95,main_group_only,33,0,0.0000
N12,main_group_only,33,0,0.0000
SOGGA11,main_group_only,33,0,0.0000
WB97,main_group_only,33,0,0.0000
MPW1P86,main_group_only,33,0,0.0000
SOGGA11-X,main_group_only,33,0,0.0000
KMLY,main_group_only,33,0,0.0000
M06-L-D3,4d_TM,32,9,0.2812
PBE06,5d_TM,32,0,0.0000
uBLYP,3d_TM,32,2,0.0625
uBP86,3d_TM,32,2,0.0625
BLYP-D,4d_TM,32,5,0.1562
B97-D(toluene),4d_TM,32,5,0.1562
PBE-D,4d_TM,32,5,0.1562
PBE0-D,4d_TM,32,5,0.1562
B3PW91-D,4d_TM,32,5,0.1562
PBEPBE-D3,main_group_only,32,20,0.6250
"wB97xD, M06",main_group_only,32,0,0.0000
B3LYP-dDsC,no_xyz_data,32,0,0.0000
(U)M06-L,main_group_only,31,0,0.0000
B3LYP; DFT-D3,3d_TM,31,25,0.8065
HSE06,main_group_only,31,0,0.0000
BP86-D3(BJ),4d_TM,31,0,0.0000
"B3LYP, TPSS, M06",main_group_only,31,0,0.0000
D2,5d_TM,31,1,0.0323
M06-2X-D3,4d_TM,31,4,0.1290
B2GP-PLYP,main_group_only,31,0,0.0000
PBE1PBE-D3(BJ),no_xyz_data,31,0,0.0000
HCTH,main_group_only,31,1,0.0323
CASSCF,no_xyz_data,31,0,0.0000
B2PLYP-D3,no_xyz_data,31,0,0.0000
"BP86, M06",main_group_only,30,15,0.5000
B97-D3(BJ),4d_TM,30,9,0.3000
"B3LYP, M06-2X, B97D",no_xyz_data,30,0,0.0000
R2SCAN-3c,5d_TM,30,12,0.4000
PWPB95-D4,5d_TM,30,12,0.4000
PWPB95,5d_TM,30,12,0.4000
τ-HCTH hyb.,main_group_only,30,0,0.0000
X3LYP,main_group_only,30,0,0.0000
SOGGA11X,main_group_only,30,0,0.0000
LC-ωHPBE,main_group_only,30,0,0.0000
PBEh1PBE,main_group_only,30,0,0.0000
O3LYP,main_group_only,30,0,0.0000
"M06, M06-2X",main_group_only,30,29,0.9667
MN12-L,4d_TM,30,0,0.0000
"M06, M06-D3",5d_TM,30,0,0.0000
M06-D3(0),main_group_only,30,0,0.0000
not specified,5d_TM,30,27,0.9000
B97D4,4d_TM,30,0,0.0000
PWP91,4d_TM,30,9,0.3000
SCS-RI-MP2,main_group_only,29,0,0.0000
"B3LYP, MN12-L",4d_TM,29,0,0.0000
ωB97M-D4,main_group_only,29,0,0.0000
BH&HLYP,3d_TM,29,0,0.0000
Becke,4d_TM,29,11,0.3793
Perdew,4d_TM,29,11,0.3793
D3(BJ),4d_TM,29,11,0.3793
DF-PBE,main_group_only,29,0,0.0000
MO6,4d_TM,29,0,0.0000
D3-B3LYP,no_xyz_data,29,0,0.0000
B3PW91-D3BJ,4d_TM,29,26,0.8966
D3,no_xyz_data,28,1,0.0357
M06ii,4d_TM,28,24,0.8571
B3LYP-D3',4d_TM,28,0,0.0000
PBE1PBE-D3,main_group_only,28,20,0.7143
B3LYP-D3(bj),main_group_only,28,5,0.1786
N12,4d_TM,28,0,0.0000
ROMP2,no_xyz_data,28,0,0.0000
B-PW91,main_group_only,28,0,0.0000
⍵B97XD,main_group_only,28,0,0.0000
M0625,5d_TM,28,28,1.0000
"B3-LYP, M06",main_group_only,28,0,0.0000
"BP86, B3LYP, PBEPBE, B3PW91, B97D, M06, M06-L",3d_TM,28,0,0.0000
M064,4d_TM,27,9,0.3333
PWPB95-D3-(BJ),main_group_only,27,0,0.0000
M0611,main_group_only,27,8,0.2963
MPWB95,main_group_only,27,0,0.0000
UOPBE,no_xyz_data,27,0,0.0000
"B3LYP, BPW91",4d_TM,27,23,0.8519
DSD-PBEB95-D3BJ,4d_TM,27,22,0.8148
B3P86,4d_TM,27,9,0.3333
TPSS-D3,4d_TM,27,25,0.9259
B3LYP-D2,4d_TM,27,0,0.0000
PBEh-3c,4d_TM,27,12,0.4444
B3LYP+D,4d_TM,27,0,0.0000
B2GP-PLYP-D,main_group_only,27,0,0.0000
B3LYP*,3d_TM,26,0,0.0000
B3LYP-D4,4d_TM,26,4,0.1538
"M06, B3LYP",4d_TM,26,24,0.9231
uM06L-d3,main_group_only,26,0,0.0000
OLYP,4d_TM,26,0,0.0000
M0620,main_group_only,26,0,0.0000
"PBE0, ωB97xD",4d_TM,26,0,0.0000
HF-LYP,no_xyz_data,26,0,0.0000
RPBE,no_xyz_data,26,0,0.0000
HF-PBE,no_xyz_data,26,0,0.0000
ωB97X-D,lanthanides,26,6,0.2308
ωB97X,3d_TM,26,2,0.0769
GD3BJ,4d_TM,25,0,0.0000
mPW91PW91,4d_TM,25,0,0.0000
M062,main_group_only,25,10,0.4000
(U)PBE0-D3(BJ),3d_TM,25,23,0.9200
(U)PBE0,3d_TM,25,23,0.9200
ωB97X-D1,5d_TM,25,0,0.0000
M06-SMD,3d_TM,25,0,0.0000
M06L-D3,4d_TM,25,25,1.0000
BB1K,main_group_only,25,0,0.0000
revDSD-PBEP86-D3,no_xyz_data,25,21,0.8400
mPW1k,4d_TM,25,0,0.0000
ωB97X-D2,3d_TM,24,0,0.0000
UB3LYP-GD3BJ,main_group_only,24,0,0.0000
ZORA-BP86-D3(BJ),main_group_only,24,0,0.0000
scLH22t,main_group_only,24,0,0.0000
TPSS0-D4,main_group_only,24,0,0.0000
PBE1PBE-GD3,main_group_only,24,7,0.2917
wB97X-D10,main_group_only,24,7,0.2917
B3LYP-D(BJ),main_group_only,24,7,0.2917
B2PLYP-D3,5d_TM,24,2,0.0833
"BP86, B97D, M06",4d_TM,24,0,0.0000
PBEPBE,5d_TM,23,0,0.0000
DFT-D3(BJ),main_group_only,23,2,0.0870
ZORA-OLYP,main_group_only,23,0,0.0000
GD3(BJ),main_group_only,23,22,0.9565
TD-B3LYP,main_group_only,23,0,0.0000
B97-1,5d_TM,23,0,0.0000
UPBE0,3d_TM,23,5,0.2174
UMPW1K,3d_TM,23,5,0.2174
UM06-L,3d_TM,23,5,0.2174
SCS-MP2,5d_TM,23,0,0.0000
ωB97,3d_TM,23,9,0.3913
B3PW91-d3,4d_TM,23,9,0.3913
UωB97X-D,main_group_only,22,0,0.0000
D3BJ,4d_TM,22,2,0.0909
B97M-V,no_xyz_data,22,0,0.0000
B3LYP+D3(BJ),5d_TM,22,0,0.0000
PBE0-dDsC,4d_TM,22,9,0.4091
ZORA-BLYP-D3(BJ),no_xyz_data,22,0,0.0000
M06L-D3,no_xyz_data,22,0,0.0000
revDSD-PBEP86-D3(BJ),no_xyz_data,22,0,0.0000
PBE1PBE-D3BJ,main_group_only,22,17,0.7727
M06X,4d_TM,22,0,0.0000
revPBE,no_xyz_data,22,0,0.0000
BLYP-D2,no_xyz_data,22,0,0.0000
revPBE0,no_xyz_data,22,0,0.0000
CAM-B3LYP,5d_TM,22,10,0.4545
TPSS-D3(BJ),4d_TM,22,21,0.9545
PW6B95-D3BJ,4d_TM,22,21,0.9545
DFT-D3,no_xyz_data,22,7,0.3182
CAM-B3LYP-D3(BJ),4d_TM,22,11,0.5000
Grimme's D3,3d_TM,22,6,0.2727
r2SCAN-3c,no_xyz_data,21,0,0.0000
TPSS,lanthanides,21,0,0.0000
CAM-B3LYP+GD3BJ,main_group_only,21,0,0.0000
PBE0+GD3BJ,main_group_only,21,0,0.0000
PBE+GD3BJ,main_group_only,21,0,0.0000
B3LYP+GD3,main_group_only,21,0,0.0000
BP,5d_TM,21,0,0.0000
DFT-D3BJ,4d_TM,21,0,0.0000
TPSSh-D3,5d_TM,21,0,0.0000
B1B95,5d_TM,21,0,0.0000
BMK,5d_TM,21,0,0.0000
τ-HCTHh,5d_TM,21,0,0.0000
Grimme’s DFT-D3,no_xyz_data,21,17,0.8095
M06L(D3),4d_TM,21,0,0.0000
BP86-D3(BJ),no_xyz_data,21,0,0.0000
"B3LYP, M06, PW6B95",3d_TM,21,0,0.0000
D4,4d_TM,21,19,0.9048
UM11-L,3d_TM,21,20,0.9524
UB3LYP+D3BJ,3d_TM,21,20,0.9524
BP86+D3BJ,3d_TM,21,20,0.9524
ROBP3LYP,main_group_only,21,0,0.0000
TPSS; PW6B95-D4,main_group_only,21,0,0.0000
PWPB95-D3(BJ),4d_TM,21,0,0.0000
"M06, B3LYP",3d_TM,21,0,0.0000
"B3LYP, B1LYP, B3PW91, BP86, CCSD(T)",3d_TM,20,19,0.9500
BPW91*,3d_TM,20,14,0.7000
ωB97M-D3BJ,main_group_only,20,0,0.0000
PWPB95-D3BJ,main_group_only,20,0,0.0000
BPBE,4d_TM,20,0,0.0000
b97-2,main_group_only,20,16,0.8000
B3LYP+D3,4d_TM,20,0,0.0000
Grimme's D3(BJ),no_xyz_data,20,0,0.0000
UMN15,no_xyz_data,20,0,0.0000
UBP86,main_group_only,20,0,0.0000
BOP (Becke-Tsuneda-Hirao),4d_TM,20,5,0.2500
mPWB1K,no_xyz_data,19,10,0.5263
BHandH,main_group_only,19,0,0.0000
"B3LYP, B3LYP-D3, WB97xd",no_xyz_data,19,0,0.0000
GD3(BJ),3d_TM,19,0,0.0000
BMK-D3,4d_TM,19,0,0.0000
mPWB1K,4d_TM,19,0,0.0000
B3P,no_xyz_data,19,14,0.7368
Truhlar's M06,3d_TM,19,12,0.6316
"PBEh-3c, PW6B95-D3",main_group_only,19,10,0.5263
CAM-B3LYP-D3,main_group_only,19,1,0.0526
"TPSS, PW6B95",no_xyz_data,19,0,0.0000
B3YLP,main_group_only,19,0,0.0000
r²SCAN,main_group_only,19,5,0.2632
"M06, b-p",main_group_only,18,18,1.0000
CAM-B3LYP-D3BJ,main_group_only,18,8,0.4444
B3LYP*-D3,3d_TM,18,0,0.0000
PBE1PBE (PBE0),main_group_only,18,0,0.0000
M061,5d_TM,18,17,0.9444
U-PBE0,3d_TM,18,0,0.0000
PBE04,3d_TM,18,0,0.0000
TPSSh-D3,main_group_only,18,1,0.0556
"TPSS, B3LYP-D3BJ",no_xyz_data,18,0,0.0000
UM062X(D3),main_group_only,18,0,0.0000
M062X(D3),main_group_only,18,0,0.0000
PW91PW91,no_xyz_data,18,0,0.0000
B3LYP; M06-2X,main_group_only,18,8,0.4444
PBE05,3d_TM,18,13,0.7222
"BP86, B97D, BLYP, B3LYP, PBE, PBE0, B97D3, ωB97x-D, M06, TPSS",3d_TM,18,0,0.0000
r2SCAN-3c,3d_TM,18,7,0.3889
STEOM-DLPNO-CCSD,3d_TM,18,7,0.3889
BPV86,4d_TM,18,18,1.0000
PBE-D3(BJ),4d_TM,18,10,0.5556
"B3LYP-D3(BJ), M06, M06-L, PBE0-D3(BJ), TPSSh-D3(BJ), ωB97XD",main_group_only,18,0,0.0000
"PBE, D3BJ",3d_TM,18,0,0.0000
BLYP-D3BJ,3d_TM,18,0,0.0000
"PBE, PBE-D3",main_group_only,18,3,0.1667
(U)B3LYP-D3(BJ),3d_TM,17,0,0.0000
"M06, B3LYP-D3BJ, M11-L, M06-2X",main_group_only,17,0,0.0000
wB97XDS2,main_group_only,17,0,0.0000
B3LYP* (15% exact exchange),3d_TM,17,0,0.0000
G3MP2,main_group_only,17,6,0.3529
G4MP2,main_group_only,17,6,0.3529
"M06L, ωB97x, B3PW91",main_group_only,17,0,0.0000
PBEh-3c,no_xyz_data,17,0,0.0000
rM06L,no_xyz_data,17,15,0.8824
"B3LYP, PBE0",3d_TM,17,1,0.0588
B3LYP-D3(BJ); M06,main_group_only,17,12,0.7059
LC-BLYP*,no_xyz_data,17,0,0.0000
BLYP-D3(BJ),no_xyz_data,17,0,0.0000
"B3-LYP, BP86",3d_TM,17,17,1.0000
B88P86,3d_TM,17,0,0.0000
UM06-2x,main_group_only,17,0,0.0000
ωB97X-V,3d_TM,17,0,0.0000
(U)M06-2X,4d_TM,17,0,0.0000
(U)PBE0,4d_TM,17,0,0.0000
"B3LYP, SMD-M06",5d_TM,17,4,0.2353
PBE0-D3(BJ),lanthanides,16,0,0.0000
M06-L-D3BJ,no_xyz_data,16,8,0.5000
"B3LYP, ωB97XD",main_group_only,16,0,0.0000
"BP86, M06",4d_TM,16,1,0.0625
GTH-BLYP-q6,main_group_only,16,0,0.0000
TPSS-D3BJ,3d_TM,16,11,0.6875
MP2,5d_TM,16,12,0.7500
"B3LYP, CAM-B3LYP",main_group_only,16,0,0.0000
UωB97X-D,3d_TM,16,0,0.0000
UB3LYP-D3,3d_TM,16,4,0.2500
HCTH407,no_xyz_data,16,11,0.6875
Perdew 86,3d_TM,16,0,0.0000
Becke 88,3d_TM,16,0,0.0000
MPW1K,no_xyz_data,16,0,0.0000
"B3LYP, M06",no_xyz_data,16,0,0.0000
LC-ωPBE,no_xyz_data,16,0,0.0000
"PBE, B3-LYP",main_group_only,15,0,0.0000
BMK-D3(BJ),no_xyz_data,15,0,0.0000
DLPNO CCSD(T),no_xyz_data,15,0,0.0000
PW6B95-D4,no_xyz_data,15,0,0.0000
"B3LYP, M06-L",main_group_only,15,0,0.0000
"PBE0, M06",main_group_only,15,0,0.0000
PBE0-D4,4d_TM,15,0,0.0000
rωb97xd,main_group_only,15,0,0.0000
UM06-2X-D3,no_xyz_data,15,0,0.0000
ω-B97XD6,main_group_only,15,13,0.8667
DFT-D,3d_TM,15,0,0.0000
"B3LYP, HF-LYP",main_group_only,15,0,0.0000
M11,4d_TM,15,0,0.0000
Grimme's version 3,no_xyz_data,15,0,0.0000
B97-D3(BJ),main_group_only,15,0,0.0000
B3P86-D2,main_group_only,15,10,0.6667
TPSS; wB97X-D,3d_TM,15,0,0.0000
"BP86, B3LYP, M06",no_xyz_data,15,0,0.0000
TPSS0,main_group_only,15,0,0.0000
XYGJ-OS,5d_TM,15,0,0.0000
"M06, RM06",main_group_only,15,10,0.6667
ωB97X-D5,main_group_only,15,0,0.0000
MN12-L,no_xyz_data,15,0,0.0000
"B3LYP, BP86",3d_TM,15,15,1.0000
rev-DSD-PBEP86-D3(BJ),main_group_only,14,0,0.0000
B3P86-D3,main_group_only,14,0,0.0000
PW6B95-D3,no_xyz_data,14,0,0.0000
"PBE, BP86, B3LYP, PBE0, M06, M06L",no_xyz_data,14,0,0.0000
B3PW91,actinides,14,0,0.0000
X3LYP,no_xyz_data,14,0,0.0000
um062x,main_group_only,14,0,0.0000
DSD-PBEP86-D3,main_group_only,14,0,0.0000
B3PW91-GD3BJ,5d_TM,14,0,0.0000
"B3PW91, M06",5d_TM,14,0,0.0000
B3PW91-D3(BJ),4d_TM,14,5,0.3571
M0611,5d_TM,14,3,0.2143
PW6B95-D4,3d_TM,14,0,0.0000
B3PW91-D3BJ,main_group_only,14,1,0.0714
"B3LYP, BLYP, BP86",no_xyz_data,14,0,0.0000
B97M-D3(BJ),main_group_only,14,0,0.0000
PBE0-D,no_xyz_data,14,0,0.0000
PBE0-dDsC,main_group_only,14,1,0.0714
B3LYP-dDsC,main_group_only,14,1,0.0714
"B3LYP, ωB97X-D",3d_TM,13,11,0.8462
PW91,5d_TM,13,0,0.0000
PBE-D,3d_TM,13,0,0.0000
RI-DSD-PBEP86/2013-D3(BJ),main_group_only,13,0,0.0000
LYP,4d_TM,13,0,0.0000
PNO-LCCSD(T),main_group_only,13,0,0.0000
"M06, B3LYP",main_group_only,13,0,0.0000
BVP86,3d_TM,13,0,0.0000
M06-2X-D3,3d_TM,13,0,0.0000
revM06-L,no_xyz_data,13,13,1.0000
B3PW91-GD3BJ,main_group_only,13,0,0.0000
rm062x,main_group_only,13,0,0.0000
"PBE0, m062x",main_group_only,13,13,1.0000
HSE06,3d_TM,13,0,0.0000
DSD-PBE96-NL,4d_TM,13,0,0.0000
RωB97X-D,no_xyz_data,13,0,0.0000
MP2,4d_TM,13,0,0.0000
revDSD-PBEP86-D4,no_xyz_data,13,0,0.0000
BLYP-D3(BJ),5d_TM,12,2,0.1667
"B3-LYP, M06-2x",main_group_only,12,0,0.0000
M052X-D3,main_group_only,12,0,0.0000
RI-B2PLYP,main_group_only,12,0,0.0000
B3LYP*-D2,4d_TM,12,0,0.0000
M06-2X(D3),main_group_only,12,0,0.0000
"B3LYP-D3, TPSS-D3, M06, M06-L, CAM-B3LYP",3d_TM,12,0,0.0000
wB97,3d_TM,12,0,0.0000
B2G-PPLYP,3d_TM,12,0,0.0000
M11,3d_TM,12,0,0.0000
B2T-PLYP,3d_TM,12,0,0.0000
B2K-PLYP,3d_TM,12,0,0.0000
UωB97XD,no_xyz_data,12,0,0.0000
TPSS-D3(BJ),actinides,12,0,0.0000
PW6B95-D3(BJ),actinides,12,0,0.0000
RPA,no_xyz_data,12,0,0.0000
"M06L, TPSSH, OPBE",3d_TM,12,0,0.0000
B97-2,no_xyz_data,12,0,0.0000
BP86-D,main_group_only,12,12,1.0000
PBE1PBE-D3BJ,3d_TM,12,0,0.0000
TPSSTPSS-D3BJ,3d_TM,12,0,0.0000
"B3LYP, ωB97X-D",no_xyz_data,12,0,0.0000
Becke 88 exchange with the Perdew 86 correlation,3d_TM,12,0,0.0000
MPWLYP1M,no_xyz_data,12,10,0.8333
B2GP-PLYP,no_xyz_data,12,10,0.8333
PBE2,no_xyz_data,12,10,0.8333
M05,no_xyz_data,12,10,0.8333
BB1K,no_xyz_data,12,10,0.8333
PBEh1PBE,3d_TM,12,0,0.0000
UωB97x-D,no_xyz_data,12,0,0.0000
TPSSh-D3BJ,no_xyz_data,12,0,0.0000
RPBE1PBE,5d_TM,12,0,0.0000
M06L5,3d_TM,12,4,0.3333
"PBE, CAM-B3LYP-D3",4d_TM,11,0,0.0000
PW6B95-D4,main_group_only,11,0,0.0000
τ-HCTHhyb,main_group_only,11,0,0.0000
D3(0),main_group_only,11,7,0.6364
"B3LYP-D3(BJ), M06",4d_TM,11,0,0.0000
M06-L-D3,3d_TM,11,11,1.0000
uwb97xd,main_group_only,11,0,0.0000
PBE-D3(BJ),3d_TM,11,7,0.6364
"B3LYP, M06, B97D, SCS-MP2",4d_TM,11,0,0.0000
TPSSTPSS,5d_TM,11,0,0.0000
Vosko-Wilk-Nusair,4d_TM,11,11,1.0000
PW91,3d_TM,11,2,0.1818
PBE1W-D3,main_group_only,11,0,0.0000
"B3LYP, wb97xd",main_group_only,11,0,0.0000
M06-2X,lanthanides,11,0,0.0000
D3(BJ)-B3LYP,main_group_only,11,0,0.0000
"BP86, B3LYP",main_group_only,11,0,0.0000
PW6B95-D3BJ,3d_TM,11,0,0.0000
"mPW1K, M06-L, BP86",4d_TM,11,0,0.0000
M06-LS,main_group_only,11,0,0.0000
wB97X-D3BJ,main_group_only,11,0,0.0000
TPSSHS,main_group_only,11,0,0.0000
TPPSS,main_group_only,11,0,0.0000
LYP,3d_TM,11,7,0.6364
MP4(SDQ),main_group_only,11,7,0.6364
"PBE0, PWPB95",no_xyz_data,11,0,0.0000
BHLYP-D3,main_group_only,11,0,0.0000
"B3LYP, B3LYP-D3BJ",3d_TM,11,7,0.6364
B2PLYPD,main_group_only,11,0,0.0000
UB2PLYPD,main_group_only,11,0,0.0000
PBEh-3c,5d_TM,11,1,0.0909
BP,no_xyz_data,11,0,0.0000
BLYP*,3d_TM,11,0,0.0000
"M06, PBE0, PBE0-D3, wb97XD",main_group_only,10,0,0.0000
B3LYP-D3(BJ); M06,4d_TM,10,0,0.0000
"ωb97xd, M062X",main_group_only,10,6,0.6000
"ωB97xd, B3LYP, TPSSh, M06-2X",main_group_only,10,0,0.0000
B97-3c,3d_TM,10,0,0.0000
"PBE0, PBE1PBE",main_group_only,10,0,0.0000
"UM05, UM06-2X",main_group_only,10,0,0.0000
B3LYP+D3(BJ),main_group_only,10,0,0.0000
𝜔B97M-V,main_group_only,10,0,0.0000
B3LYP-D3a,main_group_only,10,3,0.3000
M064,no_xyz_data,10,0,0.0000
B3LYP+D3(BJ),3d_TM,10,8,0.8000
TPSSh-D3(BJ),3d_TM,10,0,0.0000
RM06,main_group_only,10,7,0.7000
M062,5d_TM,10,0,0.0000
D3-BJ,5d_TM,10,0,0.0000
BHHLYP,no_xyz_data,10,0,0.0000
B2PLYP-D3BJ,no_xyz_data,10,6,0.6000
PW6B95-D3BJ,no_xyz_data,10,6,0.6000
"B3LYP, B3LYP-D3, M06-2X",main_group_only,10,0,0.0000
B2PLYP,4d_TM,10,0,0.0000
UTPSSH,no_xyz_data,10,9,0.9000
RTPSSH,no_xyz_data,10,9,0.9000
"ωB97xD, M06-2X",main_group_only,9,0,0.0000
"TPSS-D3(BJ), M06-2X(D3)",main_group_only,9,0,0.0000
"M06, D3",4d_TM,9,0,0.0000
GD3BJ,no_xyz_data,9,9,1.0000
B3PW91*-D3,main_group_only,9,1,0.1111
B3LYP-D4,no_xyz_data,9,0,0.0000
Becke's exchange functional,5d_TM,9,0,0.0000
Perdew's correlation functional,5d_TM,9,0,0.0000
UPBE0,5d_TM,9,9,1.0000
"PBE-D3, M06L, M06, PBE0-D3, B3LYP",main_group_only,9,0,0.0000
PBEPBE,3d_TM,9,0,0.0000
rev-DSD-PBEP86-D4,main_group_only,9,8,0.8889
B97-2,main_group_only,9,0,0.0000
PBE100,5d_TM,9,0,0.0000
HF,5d_TM,9,0,0.0000
CAM-B3LYP+GD3,5d_TM,9,0,0.0000
dDsC,main_group_only,9,0,0.0000
Grimme's D3(0),no_xyz_data,9,0,0.0000
XYGJ-OS,main_group_only,9,2,0.2222
(U)ωB97X-D,3d_TM,9,0,0.0000
n.a.,no_xyz_data,9,0,0.0000
uDSD-PBEP86,no_xyz_data,9,0,0.0000
PW6B95-D3(BJ),3d_TM,9,0,0.0000
M06,actinides,9,7,0.7778
B3LYP,actinides,8,5,0.6250
PM6,main_group_only,8,0,0.0000
"M06, B3LYP-D3",4d_TM,8,0,0.0000
M06(D3),main_group_only,8,0,0.0000
M06L-D3zero,3d_TM,8,8,1.0000
optB86b-vdW,main_group_only,8,0,0.0000
ωB97X-D10,no_xyz_data,8,8,1.0000
"B3LYP-D3, ωB97X-D, B3P86, M06-L, BP86, BP86G, PBE1PBE",4d_TM,8,0,0.0000
"PBE0, D3BJ",no_xyz_data,8,0,0.0000
PBEB95,no_xyz_data,8,0,0.0000
M06-LD3,no_xyz_data,8,0,0.0000
∆EM06,no_xyz_data,8,0,0.0000
"B3-LYP, M11-L",4d_TM,8,0,0.0000
"b3-lyp, M06-2X",no_xyz_data,8,0,0.0000
B3LYP(D3),5d_TM,8,0,0.0000
LDA,main_group_only,8,0,0.0000
"PBE0, M06",3d_TM,8,2,0.2500
UωB97XD,main_group_only,8,0,0.0000
DSD-BLYP,main_group_only,8,5,0.6250
B97-D3(bj),4d_TM,8,0,0.0000
not specified,3d_TM,8,7,0.8750
B3PW91**,main_group_only,8,0,0.0000
(u)ωB97XD,main_group_only,8,0,0.0000
BP86; B3LYP,main_group_only,8,0,0.0000
"B3LYP, TPSS",5d_TM,8,0,0.0000
(U)M06,3d_TM,8,7,0.8750
PBEPBE,4d_TM,8,1,0.1250
PBE-D4(EEQ),3d_TM,8,0,0.0000
B98,main_group_only,7,0,0.0000
B2PLYP,3d_TM,7,0,0.0000
HCTH407,main_group_only,7,0,0.0000
"HSE06, B3LYP",no_xyz_data,7,0,0.0000
uM06-2X,main_group_only,7,0,0.0000
HF,no_xyz_data,7,0,0.0000
B3LYP-D3(SMD),main_group_only,7,0,0.0000
BMK-D3(BJ),4d_TM,7,0,0.0000
B97-3c,4d_TM,7,0,0.0000
IEFPCM B3LYP,main_group_only,7,0,0.0000
HCTH407,3d_TM,7,0,0.0000
VSXC,3d_TM,7,0,0.0000
TPSS1,no_xyz_data,7,7,1.0000
M06-3,5d_TM,7,0,0.0000
Grimme's D3,4d_TM,7,0,0.0000
(U)BB86-D3,3d_TM,7,0,0.0000
CAS,3d_TM,7,0,0.0000
B97-3c,5d_TM,7,0,0.0000
"B3LYP, M06L",4d_TM,7,7,1.0000
PWPB95(D3),main_group_only,7,0,0.0000
Becke and Perdew (BP),3d_TM,7,0,0.0000
APFD,no_xyz_data,7,0,0.0000
UAPFD,no_xyz_data,7,0,0.0000
PBE0-GD3BJ,main_group_only,7,4,0.5714
M063,no_xyz_data,7,0,0.0000
"BLYP, M06-2X, DFT-D3(BJ)",main_group_only,7,0,0.0000
"Becke-Perdew (BP86), OPBE",no_xyz_data,7,0,0.0000
RωB97X-D,main_group_only,7,0,0.0000
"B3LYP, MO6-2X",main_group_only,7,0,0.0000
"B3LYP, PBE0, ωB97X-D",3d_TM,7,0,0.0000
B3LYP**,3d_TM,7,3,0.4286
ωB97X-2(TQZ),3d_TM,7,0,0.0000
DSD-PBEB95,3d_TM,7,0,0.0000
B3LYP-GD3(BJ),no_xyz_data,6,0,0.0000
PBE-D3(BJ),5d_TM,6,0,0.0000
PBEh-3c; revDSD-PBEP86,main_group_only,6,0,0.0000
Grimme’s dispersion correction D3,main_group_only,6,0,0.0000
EOM-CCSD,main_group_only,6,0,0.0000
CIS,main_group_only,6,0,0.0000
uM06,main_group_only,6,0,0.0000
B3LYP; m06,4d_TM,6,0,0.0000
BJ-damped DFT-D3,5d_TM,6,0,0.0000
"CASSCF(2e,2o)",main_group_only,6,2,0.3333
UPBE,main_group_only,6,2,0.3333
"BP86, B3LYP",3d_TM,6,6,1.0000
MPW1-B95,main_group_only,6,0,0.0000
PW6-B95-D3,main_group_only,6,0,0.0000
PW6-B95,main_group_only,6,0,0.0000
B3-PW91-D3,main_group_only,6,0,0.0000
ZORA-B3LYP-D3,4d_TM,6,0,0.0000
PBE+D,4d_TM,6,0,0.0000
PBEh,4d_TM,6,0,0.0000
ωB97X-D4,3d_TM,6,0,0.0000
BP86-D4,5d_TM,6,4,0.6667
uB3LYP-d3,main_group_only,6,0,0.0000
PBEh-3C,4d_TM,6,0,0.0000
r2scan-3c,4d_TM,6,0,0.0000
PWPB95,4d_TM,6,0,0.0000
"B3LYP-D3, M06-L",main_group_only,6,0,0.0000
B97M-D4,no_xyz_data,6,2,0.3333
DSD-BLYP-D3(BJ),no_xyz_data,6,2,0.3333
B3LYP(GD3BJ),3d_TM,6,3,0.5000
SCAN,main_group_only,6,0,0.0000
"TPSS-D3, B2PLYP-D3, PW6B95-D3",no_xyz_data,6,0,0.0000
ωB97X-D,actinides,6,6,1.0000
BH-LYP,no_xyz_data,6,4,0.6667
M06-D3,actinides,5,2,0.4000
"M06, OPBE, PBE0",3d_TM,5,0,0.0000
mPW2PLYP,5d_TM,5,0,0.0000
BPW91-30HF,main_group_only,5,0,0.0000
B2PLYP,no_xyz_data,5,0,0.0000
BP,main_group_only,5,0,0.0000
"B3LYP, B3LYP-D3, M11",main_group_only,5,0,0.0000
BLYP-D3BJ,main_group_only,5,0,0.0000
BVP86,main_group_only,5,0,0.0000
"PBE-D3, M06L",3d_TM,5,3,0.6000
B3LYP; M06,no_xyz_data,5,0,0.0000
LC-BLYP,3d_TM,5,0,0.0000
B3LYP(B1),3d_TM,5,0,0.0000
UwB97XD,main_group_only,5,0,0.0000
D3(BJ),no_xyz_data,5,0,0.0000
ZORA-BP86-D3,main_group_only,5,0,0.0000
"M06L, B3LYP",3d_TM,5,0,0.0000
PBE0-D3,5d_TM,5,0,0.0000
B3LYP3-D3,main_group_only,5,0,0.0000
ωB97X-3D,main_group_only,5,0,0.0000
UωB97X-D,no_xyz_data,5,0,0.0000
