doi,n_leaves_parsed,n_xyz_total,elements
10.1002/adma.201805188,1,2,C
10.1002/adma.201807388,1,1,B Be C F H He Li N Ne O
10.1002/adma.201900060,1,2,Mn O
10.1002/adma.201900323,1,2,B
10.1002/adma.201900699,1,6,Th
10.1002/adma.201901402,1,12,C H N O
10.1002/adma.201907557,1,1,H He
10.1002/adma.201908243,1,15,H He
10.1002/adma.202000380,1,7,Sn
10.1002/adma.202000474,1,1,H Li
10.1002/adma.202000693,1,2,H He Li
10.1002/adma.202001592,1,2,Al Be H
10.1002/adma.202004490,1,2,H
10.1002/adma.202004630,1,1,Br Cs I Pb
10.1002/adma.202005159,1,1,Ca Mn P Zr
10.1002/adma.202006118,1,4,Nd Th
10.1002/adma.202006120,1,2,C Cl H N O S
10.1002/adma.202008316,1,1,Sr Ti
10.1002/adma.202100185,1,31,H
10.1002/adma.202100272,1,1,H
10.1002/adma.202101204,1,2,C
10.1002/adma.202102935,1,1,B Be C H He Li N O
10.1002/adma.202106954,1,6,B C H N
10.1002/adma.202107425,1,1,H He Li
10.1002/adma.202107779,1,1,Ge Te
10.1002/adma.202109605,1,1,C
10.1002/adma.202110696,1,1,B Be C H He Li N
10.1002/adma.202200350,1,6,C Cl H N O S
10.1002/adma.202201353,1,2,H He Li
10.1002/adma.202202301,1,1,Co Ds Sn Th Yb Zr
10.1002/adma.202203309,1,3,C H N O
10.1002/adma.202203954,1,2,H
10.1002/adma.202204247,1,2,Co Fe Ni
10.1002/adma.202204253,1,6,B C H N O
10.1002/adma.202204810,1,1,Ga Sn
10.1002/adma.202206685,1,2,Mn
10.1002/adma.202206960,1,2,Pt
10.1002/adma.202207131,1,8,C
10.1002/adma.202207466,1,1,Co Cr Fe Mo Nb Ni Ti Zr
10.1002/adma.202207835,1,1,Bi C H N
10.1002/adma.202207970,1,3,H
10.1002/adma.202208994,1,1,Ca Yb
10.1002/adma.202209556,1,21,P
10.1002/adma.202209567,1,1,Al Au Cs Fr H K
10.1002/adma.202209919,1,2,B
10.1002/adma.202210551,1,26,Br C H N O
10.1002/adma.202210859,1,19,C H N O
10.1002/adma.202211177,1,1,B Be H He Li
10.1002/adma.202211279,1,8,C H S
10.1002/adma.202212059,1,2,B Mn Sn
10.1002/adma.202300387,1,1,He
10.1002/adma.202300441,1,1,H He Li
10.1002/adma.202301338,1,1,H
10.1002/adma.202301342,1,7,B Be C H He Li
10.1002/adma.202302467,1,16,Co Cr Fe Mn Ni Ti V
10.1002/adma.202302793,1,1,Zr
10.1002/adma.202305074,1,1,H
10.1002/adma.202305149,1,5,Co
10.1002/adma.202305602,1,1,B C
10.1002/adma.202306244,1,4,Al C Cl
10.1002/adma.202306906,1,5,Ti
10.1002/adma.202307651,1,2,B
10.1002/adma.202400690,1,1,Cr Fe Na O P Ti V
10.1002/adma.202404466,1,2,H He Li
10.1002/adma.202404824,1,12,S
10.1002/adma.202406175,1,2,Mn Ni W
10.1002/adma.202407519,1,1,C
10.1002/adma.202408094,1,25,C Co H N O S
10.1002/adma.202418137,1,4,Be
10.1002/adma.202500269,1,2,B C H N
10.1002/admi.202202237,1,14,C Co H N
10.1002/admi.202300990,1,1,H He
10.1002/admi.202400237,1,9,B
10.1002/adsc.200303166,1,12,C H N O Pd
10.1002/adsc.200404107,1,31,C H N O
10.1002/adsc.200600312,1,70,Br C H
10.1002/adsc.200600319,1,2,C H O
10.1002/adsc.200600362,1,4,C H N O Si
10.1002/adsc.200600557,1,4,C Cu H N O
10.1002/adsc.200700285,1,1,C H N O
10.1002/adsc.200700367,1,16,C H N O S
10.1002/adsc.200700374,1,16,Ag C H N
10.1002/adsc.200800060,1,29,C Cu H Li
10.1002/adsc.200900054,1,9,C Cu H N O P Zn
10.1002/adsc.200900085,1,1,S
10.1002/adsc.200900614,1,5,Au C H N O P S
10.1002/adsc.200900836,1,9,B C H O P Pd
10.1002/adsc.200900908,1,7,B C H N O
10.1002/adsc.201000306,1,34,B C F Fe H Li N
10.1002/adsc.201000339,1,8,C H O
10.1002/adsc.201000349,1,4,C Cl H N O P Pd
10.1002/adsc.201000618,1,24,C H N O
10.1002/adsc.201000678,1,16,C H N Ru
10.1002/adsc.201000828,1,5,C H
10.1002/adsc.201000908,1,15,C Cl Cu H N Si
10.1002/adsc.201100478,1,20,Ag C F H O S
10.1002/adsc.201100684,1,12,C H N P Pd
10.1002/adsc.201100843,1,16,Au C H O P
10.1002/adsc.201100924,1,40,C H O P
10.1002/adsc.201200233,1,10,Au C H N O
10.1002/adsc.201200459,1,6,Br C Cl H N O S
10.1002/adsc.201200734,1,16,Db Nd P Re Rh Th Zn
10.1002/adsc.201200853,1,7,C H N Ni
10.1002/adsc.201201001,1,6,C F H N O S
10.1002/adsc.201300219,1,17,C H O
