functional,n_reactions,n_converged,convergence_rate
(no functional listed),262706,42285,0.1610
B3LYP,65534,15652,0.2388
M06,32091,10236,0.3190
M06-2X,26989,2735,0.1013
B3LYP-D3,21373,4596,0.2150
ωB97X-D,18545,3270,0.1763
B3LYP-D3(BJ),17148,3412,0.1990
M06-L,14497,2936,0.2025
PBE0,12074,2685,0.2224
BP86,8975,2065,0.2301
B3PW91,6977,1272,0.1823
PBE,4681,630,0.1346
TPSSh,2847,612,0.2150
B97-D,2833,471,0.1663
M06-D3,2810,884,0.3146
TPSS,2417,577,0.2387
BP86-D3,2165,575,0.2656
M06-2X-D3,1956,91,0.0465
D3,1954,384,0.1965
MN15,1940,636,0.3278
OLYP,1653,275,0.1664
PBE0-D3(BJ),1533,149,0.0972
TPSS-D3,1497,157,0.1049
CAM-B3LYP,1426,86,0.0603
PBE0-D3,1390,303,0.2180
PBE0-D3BJ,1319,333,0.2525
BLYP,1273,295,0.2317
B97-D3,1224,306,0.2500
M05-2X,1222,260,0.2128
OPBE,1034,193,0.1867
PBE-D3,1032,212,0.2054
ωB97M-V,992,103,0.1038
B3P86,961,102,0.1061
PW6B95-D3,944,27,0.0286
"B3LYP, M06",944,329,0.3485
DLPNO-CCSD(T),898,80,0.0891
BMK,873,323,0.3700
B3PW91-D3,871,145,0.1665
mPW1PW91,857,193,0.2252
B3LYP-D,762,257,0.3373
MP2,729,99,0.1358
UM06,700,220,0.3143
ωB97X,662,115,0.1737
PW6B95,657,88,0.1339
M11-L,635,164,0.2583
MN15-L,620,408,0.6581
D3BJ,610,152,0.2492
CCSD(T),535,214,0.4000
BP86-D3BJ,534,14,0.0262
TPSSTPSS,521,180,0.3455
BLYP-D3(BJ),518,11,0.0212
MPW1K,508,50,0.0984
B3LYP-D2,501,59,0.1178
PBEh-3c,449,72,0.1604
M11,442,33,0.0747
"B3LYP, M11-L",398,101,0.2538
BP86-D3(BJ),392,77,0.1964
UWB97XD,375,56,0.1493
HF-LYP,370,100,0.2703
mPW1K,349,150,0.4298
B2PLYP,336,48,0.1429
M06L-D3,335,153,0.4567
PWPB95,333,125,0.3754
BLYP-D3,333,150,0.4505
M06-L-D3,322,157,0.4876
RPBE1PBE,310,0,0.0000
BP86-D3-BJDAMP,309,0,0.0000
MN12SX,306,84,0.2745
Grimme’s D3,293,153,0.5222
B3PW91-D3(BJ),293,55,0.1877
BB1K,292,82,0.2808
B97-1,286,24,0.0839
PW91,279,155,0.5556
BPW91,278,23,0.0827
HSE06,278,0,0.0000
PBE-D2,276,136,0.4928
RB-P86,270,14,0.0519
UM06-2X,267,57,0.2135
PWPB95-D4,265,12,0.0453
DFT-D3,261,19,0.0728
B97-3c,248,29,0.1169
B97X-D,243,191,0.7860
TPSS-D3(BJ),232,84,0.3621
uB3LYP-D3,232,81,0.3491
ωB97X-V,232,25,0.1078
BH&HLYP,231,1,0.0043
PBE+MBD@rsSCS,230,0,0.0000
PBE+D3,230,0,0.0000
BB95,228,0,0.0000
"BP86, wB97X-D",226,20,0.0885
B3LYP+D3BJ,226,0,0.0000
HF,225,3,0.0133
PBEPBE,222,77,0.3468
ꞷB97X-D,222,0,0.0000
MN12L,220,0,0.0000
D3(BJ),220,92,0.4182
PBE-D3(BJ),217,24,0.1106
RM06,216,82,0.3796
X3LYP,214,43,0.2009
UPBE1PBE-D3,213,0,0.0000
B2PLYP-D3(BJ),212,40,0.1887
D4,210,124,0.5905
BHandHLYP,207,8,0.0386
ωB97X-D3,207,37,0.1787
revM06-L,204,201,0.9853
TPSSh-D3,199,63,0.3166
TPSSh-D3bj,197,0,0.0000
SCS-MP2,187,0,0.0000
"B3LYP, M06-L",180,120,0.6667
B3LYP+D3,176,0,0.0000
BLYP-D3BJ,175,0,0.0000
"BP86, BP86-D3",173,66,0.3815
PW6B95-D3(BJ),172,58,0.3372
TPSS-D3BJ,170,11,0.0647
M062,165,137,0.8303
UBP86,162,15,0.0926
B3PW91',162,0,0.0000
TPSSh-D3BJ,160,11,0.0688
B3LYP*,158,21,0.1329
PW6B95-D3BJ,157,113,0.7197
"B3LYP, BMK, TPSS, BP86, M06",157,136,0.8662
M06-GD3,157,51,0.3248
LYP,157,37,0.2357
"BP, M06",151,0,0.0000
TPSSh-D0,150,62,0.4133
BP,149,0,0.0000
B97-2,148,0,0.0000
"B3PW91, M06",146,41,0.2808
PBEh1PBE,145,0,0.0000
mPW1k,144,111,0.7708
TPSSTPSS-D3,142,126,0.8873
"M06, ωB97X-D, B3LYP, B3PW91, HSE06, PBEh1PBE, TPSSh, TPSS, M06L",142,0,0.0000
TPSS-D2,141,0,0.0000
CAM-B3LYP-D3(BJ),140,18,0.1286
MPWLYP1M,139,10,0.0719
B3LYP-D4,137,8,0.0584
RPBE,137,30,0.2190
wB97X+50%D,135,3,0.0222
M06-HF,135,7,0.0519
mPWB1K,131,10,0.0763
O3LYP,130,49,0.3769
RM062X,130,16,0.1231
"BP86, B3LYP, BLYP, PBE",129,0,0.0000
"PBE, PBE0",128,12,0.0938
RB3LYP-D3,126,84,0.6667
M05,126,22,0.1746
RI-B97-D,124,11,0.0887
B2PLYP-D3,124,8,0.0645
"BP86, M06",123,16,0.1301
PWPB95-D3(BJ),116,2,0.0172
"B3LYP, BP86",115,73,0.6348
revDSD-PBEP86,112,28,0.2500
TPSSh-D3(BJ),112,0,0.0000
MP4(SDTQ),111,10,0.0901
RI-DSD-BLYP,111,23,0.2072
B3LYP+D3(BJ),110,70,0.6364
MN12-L,108,0,0.0000
DSD-PBEP86,106,16,0.1509
UBHandHLYP,104,0,0.0000
"M06-2X, TPSSTPSS",103,7,0.0680
BP86-D,102,95,0.9314
B3LYP+GD3BJ,101,7,0.0693
(U)M06-2X,100,0,0.0000
GD3BJ,99,9,0.0909
ωB97X-2-D3(BJ),98,92,0.9388
B2GP-PLYP,98,10,0.1020
"ωB97X-D, B3LYP, M06L",96,0,0.0000
BMK-D3BJ,95,0,0.0000
